"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","15/21","159/17249",0.0943396226415094,77.4887690925427,33.8288154192738,7.76647965815952e-27,3.81334151215632e-24,3.03301468755493e-24,"FAU/RPL6/RPL17/RPL23A/RPL30/RPL38/RPL36A/RPLP1/RPS3A/RPS5/RPS8/RPS16/RPS25/RPS28/RPL35",15
"GO:0042254","GO:0042254","ribosome biogenesis","10/21","317/17249",0.0315457413249211,25.9110710530269,15.6289387523657,1.12536994332759e-12,2.76278321086923e-10,2.19743288933966e-10,"RPL6/RPL23A/RPL38/RPS3A/RPS5/RPS8/RPS16/RPS25/RPS28/RPL35",10
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","10/21","466/17249",0.0214592274678112,17.6262006948702,12.7031892212111,5.08582271641511e-11,8.32379651253273e-09,6.62049202733336e-09,"RPL6/RPL23A/RPL38/RPS3A/RPS5/RPS8/RPS16/RPS25/RPS28/RPL35",10
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","6/21","103/17249",0.058252427184466,47.8474341192788,16.6488637575968,1.97446675192399e-09,2.42365793798669e-07,1.92770306569421e-07,"RPS3A/RPS5/RPS8/RPS16/RPS25/RPS28",6
"GO:0042255","GO:0042255","ribosome assembly","5/21","61/17249",0.0819672131147541,67.3263075722092,18.1175576992026,9.11558836154888e-09,8.951507771041e-07,7.11975427817818e-07,"RPL6/RPL23A/RPL38/RPS5/RPS28",5
"GO:0022618","GO:0022618","protein-RNA complex assembly","5/21","202/17249",0.0247524752475248,20.3312116925978,9.64877920479071,3.66197086615645e-06,0.000299671282547136,0.000238349331814744,"RPL6/RPL23A/RPL38/RPS5/RPS28",5
"GO:0071826","GO:0071826","protein-RNA complex organization","5/21","212/17249",0.0235849056603774,19.3721922731357,9.39710194158585,4.63755106346313e-06,0.000325291081737199,0.000258726533014259,"RPL6/RPL23A/RPL38/RPS5/RPS28",5
"GO:0006364","GO:0006364","rRNA processing","5/21","223/17249",0.0224215246636771,18.4166132820841,9.13947845631582,5.93528870221728e-06,0.000364278344098586,0.000289735803752975,"RPS8/RPS16/RPS25/RPS28/RPL35",5
"GO:0016072","GO:0016072","rRNA metabolic process","5/21","265/17249",0.0188679245283019,15.4977538185085,8.30357771800549,1.37110892803551e-05,0.000748016092961597,0.000594949020235293,"RPS8/RPS16/RPS25/RPS28/RPL35",5
"GO:0030490","GO:0030490","maturation of SSU-rRNA","3/21","54/17249",0.0555555555555556,45.6322751322751,11.4684942980041,3.70651887947847e-05,0.00181990076982393,0.00144749316240686,"RPS8/RPS16/RPS28",3
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","3/21","73/17249",0.0410958904109589,33.7553816046967,9.79139712554175,9.15688192690055e-05,0.00408729911464379,0.00325091214821063,"RPL6/RPL23A/RPL35",3
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","5/21","410/17249",0.0121951219512195,10.0168408826945,6.45133766137915,0.00011001903427161,0.00450161215228004,0.0035804440100673,"RPL6/RPL23A/RPL38/RPS5/RPS28",5
"GO:0061844","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","3/21","82/17249",0.0365853658536585,30.0505226480836,9.20609093450876,0.00012946828070599,0.00477317973284617,0.00379644052071161,"FAU/GAPDH/RPL30",3
"GO:0034470","GO:0034470","ncRNA processing","5/21","429/17249",0.0116550116550117,9.57320457320457,6.27798718549031,0.00013609881111985,0.00477317973284617,0.00379644052071161,"RPS8/RPS16/RPS25/RPS28/RPL35",5
"GO:0000028","GO:0000028","ribosomal small subunit assembly","2/21","18/17249",0.111111111111111,91.2645502645503,13.377033712466,0.000213468951195303,0.00698755033579291,0.00555768286971631,"RPS5/RPS28",2
"GO:0000027","GO:0000027","ribosomal large subunit assembly","2/21","23/17249",0.0869565217391304,71.4244306418219,11.7993104703209,0.000351697944176627,0.0107927306619202,0.00858420640062688,"RPL6/RPL23A",2
"GO:0019730","GO:0019730","antimicrobial humoral response","3/21","122/17249",0.0245901639344262,20.1978922716628,7.42941134025963,0.000418317609166782,0.0120819968294641,0.00960964910222144,"FAU/GAPDH/RPL30",3
"GO:0000462","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","2/21","36/17249",0.0555555555555556,45.6322751322751,9.35908904225508,0.000867455788680014,0.0236622662356604,0.0188202396257477,"RPS8/RPS16",2
"GO:0006959","GO:0006959","humoral immune response","3/21","246/17249",0.0121951219512195,10.0168408826945,4.97302645557205,0.00315177837310847,0.0814485884840136,0.0647817050649996,"FAU/GAPDH/RPL30",3
"GO:0048145","GO:0048145","regulation of fibroblast proliferation","2/21","88/17249",0.0227272727272727,18.6677489177489,5.80113332409381,0.00507382537272395,0.118301297851685,0.0940932179289851,"FTH1/MIF",2
"GO:0031640","GO:0031640","killing of cells of another organism","2/21","90/17249",0.0222222222222222,18.2529100529101,5.72926899543272,0.00530066915017733,0.118301297851685,0.0940932179289851,"GAPDH/RPL30",2
"GO:0141061","GO:0141061","disruption of cell in another organism","2/21","90/17249",0.0222222222222222,18.2529100529101,5.72926899543272,0.00530066915017733,0.118301297851685,0.0940932179289851,"GAPDH/RPL30",2
"GO:0141060","GO:0141060","disruption of anatomical structure in another organism","2/21","93/17249",0.021505376344086,17.6641065028162,5.62570656364733,0.00564957743448591,0.120606196536199,0.0959264635329187,"GAPDH/RPL30",2
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","2/21","106/17249",0.0188679245283019,15.4977538185085,5.22723263442728,0.00727968215005753,0.148228409226213,0.117896322913335,"MIF/PPIA",2
"GO:0048144","GO:0048144","fibroblast proliferation","2/21","108/17249",0.0185185185185185,15.210758377425,5.17216824008596,0.00754727134553019,0.148228409226213,0.117896322913335,"FTH1/MIF",2
"GO:0006413","GO:0006413","translational initiation","2/21","124/17249",0.0161290322580645,13.2480798771121,4.778869268658,0.00984539225155433,0.185926445981276,0.147880183211606,"RPS3A/RPS5",2
"GO:0031666","GO:0031666","positive regulation of lipopolysaccharide-mediated signaling pathway","1/21","10/17249",0.1,82.1380952380952,8.96046114444471,0.0121112779863728,0.187753395350623,0.14933328261353,"MIF",1
"GO:0042118","GO:0042118","endothelial cell activation","1/21","10/17249",0.1,82.1380952380952,8.96046114444471,0.0121112779863728,0.187753395350623,0.14933328261353,"PPIA",1
"GO:0060352","GO:0060352","cell adhesion molecule production","1/21","11/17249",0.0909090909090909,74.6709956709957,8.53318244822369,0.0133146925209908,0.187753395350623,0.14933328261353,"PPIA",1
"GO:0098885","GO:0098885","modification of postsynaptic actin cytoskeleton","1/21","11/17249",0.0909090909090909,74.6709956709957,8.53318244822369,0.0133146925209908,0.187753395350623,0.14933328261353,"PFN1",1
"GO:2000343","GO:2000343","positive regulation of chemokine (C-X-C motif) ligand 2 production","1/21","11/17249",0.0909090909090909,74.6709956709957,8.53318244822369,0.0133146925209908,0.187753395350623,0.14933328261353,"MIF",1
"GO:0010739","GO:0010739","positive regulation of protein kinase A signaling","1/21","12/17249",0.0833333333333333,68.4484126984127,8.16005532772761,0.0145167108210871,0.187753395350623,0.14933328261353,"MIF",1
"GO:1905522","GO:1905522","negative regulation of macrophage migration","1/21","12/17249",0.0833333333333333,68.4484126984127,8.16005532772761,0.0145167108210871,0.187753395350623,0.14933328261353,"MIF",1
"GO:0032306","GO:0032306","regulation of prostaglandin secretion","1/21","13/17249",0.0769230769230769,63.1831501831502,7.83046838627143,0.0157173344257027,0.187753395350623,0.14933328261353,"MIF",1
"GO:0032308","GO:0032308","positive regulation of prostaglandin secretion","1/21","13/17249",0.0769230769230769,63.1831501831502,7.83046838627143,0.0157173344257027,0.187753395350623,0.14933328261353,"MIF",1
"GO:0002903","GO:0002903","negative regulation of B cell apoptotic process","1/21","14/17249",0.0714285714285714,58.6700680272109,7.53651252502399,0.0169165648722716,0.187753395350623,0.14933328261353,"MIF",1
"GO:0017014","GO:0017014","protein nitrosylation","1/21","14/17249",0.0714285714285714,58.6700680272109,7.53651252502399,0.0169165648722716,0.187753395350623,0.14933328261353,"GAPDH",1
"GO:0018119","GO:0018119","peptidyl-cysteine S-nitrosylation","1/21","14/17249",0.0714285714285714,58.6700680272109,7.53651252502399,0.0169165648722716,0.187753395350623,0.14933328261353,"GAPDH",1
"GO:0043518","GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator","1/21","15/17249",0.0666666666666667,54.7587301587302,7.27215579540962,0.0181144036966219,0.187753395350623,0.14933328261353,"MIF",1
"GO:0070207","GO:0070207","protein homotrimerization","1/21","15/17249",0.0666666666666667,54.7587301587302,7.27215579540962,0.0181144036966219,0.187753395350623,0.14933328261353,"MIF",1
"GO:1900029","GO:1900029","positive regulation of ruffle assembly","1/21","15/17249",0.0666666666666667,54.7587301587302,7.27215579540962,0.0181144036966219,0.187753395350623,0.14933328261353,"PFN1",1
"GO:1902166","GO:1902166","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","1/21","15/17249",0.0666666666666667,54.7587301587302,7.27215579540962,0.0181144036966219,0.187753395350623,0.14933328261353,"MIF",1
"GO:0000463","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","1/21","16/17249",0.0625,51.3363095238095,7.03270671449446,0.0193108524329787,0.187753395350623,0.14933328261353,"RPL35",1
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","2/21","178/17249",0.0112359550561798,9.22899946495452,3.85291245908057,0.0195523440856355,0.187753395350623,0.14933328261353,"MIF/PPIA",2
"GO:0032310","GO:0032310","prostaglandin secretion","1/21","17/17249",0.0588235294117647,48.3165266106443,6.814453963764,0.020505912613963,0.187753395350623,0.14933328261353,"MIF",1
"GO:0070206","GO:0070206","protein trimerization","1/21","17/17249",0.0588235294117647,48.3165266106443,6.814453963764,0.020505912613963,0.187753395350623,0.14933328261353,"MIF",1
"GO:1902165","GO:1902165","regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","1/21","17/17249",0.0588235294117647,48.3165266106443,6.814453963764,0.020505912613963,0.187753395350623,0.14933328261353,"MIF",1
"GO:0006450","GO:0006450","regulation of translational fidelity","1/21","18/17249",0.0555555555555556,45.6322751322751,6.61441781251508,0.0216995857705967,0.187753395350623,0.14933328261353,"RPS5",1
"GO:0072567","GO:0072567","chemokine (C-X-C motif) ligand 2 production","1/21","18/17249",0.0555555555555556,45.6322751322751,6.61441781251508,0.0216995857705967,0.187753395350623,0.14933328261353,"MIF",1
"GO:2000341","GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production","1/21","18/17249",0.0555555555555556,45.6322751322751,6.61441781251508,0.0216995857705967,0.187753395350623,0.14933328261353,"MIF",1
"GO:0002902","GO:0002902","regulation of B cell apoptotic process","1/21","19/17249",0.0526315789473684,43.2305764411028,6.43017450030206,0.0228918734323004,0.187753395350623,0.14933328261353,"MIF",1
"GO:0032305","GO:0032305","positive regulation of icosanoid secretion","1/21","19/17249",0.0526315789473684,43.2305764411028,6.43017450030206,0.0228918734323004,0.187753395350623,0.14933328261353,"MIF",1
"GO:0033194","GO:0033194","response to hydroperoxide","1/21","19/17249",0.0526315789473684,43.2305764411028,6.43017450030206,0.0228918734323004,0.187753395350623,0.14933328261353,"ND1",1
