"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","13/15","159/17249",0.0817610062893082,94.0197064989518,34.7635766650093,2.17602090133709e-25,1.67553609402956e-23,1.14527415859847e-23,"RPL5/RPL7A/RPL12/RPL15/RPL18A/RPL22/RPL37/RPL39/RPS11/RPS18/RPS20/UBA52/RPL14",13
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","3/15","73/17249",0.0410958904109589,47.2575342465753,11.6843578758255,3.1903154032201e-05,0.00122827143023974,0.00083955668505792,"RPL5/RPL7A/RPL14",3
"GO:1901796","GO:1901796","regulation of signal transduction by p53 class mediator","3/15","106/17249",0.0283018867924528,32.5452830188679,9.61094086762246,9.72657814103754e-05,0.00249648838953297,0.00170641721772588,"RPL5/RPL37/RPS20",3
"GO:0042254","GO:0042254","ribosome biogenesis","4/15","317/17249",0.0126182965299685,14.5101997896951,7.16241085413254,0.00013017906084088,0.00250594692118694,0.00171288237948526,"RPL5/RPL7A/RPS11/RPL14",4
"GO:1901798","GO:1901798","positive regulation of signal transduction by p53 class mediator","2/15","29/17249",0.0689655172413793,79.3057471264368,12.4508218728602,0.000282715976802722,0.00435382604276192,0.00297595765055497,"RPL37/RPS20",2
"GO:0072331","GO:0072331","signal transduction by p53 class mediator","3/15","175/17249",0.0171428571428571,19.7131428571429,7.34040590320078,0.000426971625624751,0.00547946919551764,0.00374536513705922,"RPL5/RPL37/RPS20",3
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","4/15","466/17249",0.00858369098712446,9.87067238912732,5.72712494911586,0.000566402060615827,0.0062304226667741,0.00425866210989343,"RPL5/RPL7A/RPS11/RPL14",4
"GO:0006364","GO:0006364","rRNA processing","3/15","223/17249",0.0134529147982063,15.4699551569507,6.41630882909502,0.000864790914552658,0.00832361255256933,0.00568941391153064,"RPL5/RPL7A/RPL14",3
"GO:0016072","GO:0016072","rRNA metabolic process","3/15","265/17249",0.0113207547169811,13.0181132075472,5.81649278889609,0.00142272447676014,0.0121721983011701,0.00832002617988384,"RPL5/RPL7A/RPL14",3
"GO:0034470","GO:0034470","ncRNA processing","3/15","429/17249",0.00699300699300699,8.04149184149184,4.35714775749897,0.00556333605546632,0.0428376876270907,0.0292807160814017,"RPL5/RPL7A/RPL14",3
