"ID"	"log2FC"	"pvalue"	"padj"	"lfcSE"	"stat"	"condition"	"exp_observed_in_ctr_group"
"ENSG00000105193"	-0.0440314370127951	0.0403784637144494	0.190255965071499	0.0214802563358833	-2.04985621792788	"ki"	"down"
"ENSG00000115268"	-0.044700988990107	0.0480521459761602	0.210638623140754	0.0226115793499326	-1.97690697754114	"ki"	"down"
"ENSG00000172757"	-0.0476548984254749	0.032118304170449	0.165643218027314	0.0222381428158555	-2.14293517314304	"ki"	"down"
"ENSG00000288145"	-0.0533470971313835	0.0417541006490186	0.193662621574072	0.0262023941125012	-2.03596270258111	"ki"	"down"
"ENSG00000189403"	-0.0537167319308825	0.0267468499273117	0.149366657039399	0.0242492380821552	-2.21519256600529	"ki"	"down"
"ENSG00000155368"	-0.0542517470618381	0.0469349099576964	0.207938204205741	0.027304896780377	-1.98688709568119	"ki"	"down"
"ENSG00000171858"	-0.0551903416830264	0.0347191530691035	0.173177288438201	0.0261365071957851	-2.11161886588759	"ki"	"down"
"ENSG00000125995"	-0.0574081709760608	0.044945867318374	0.202172171547154	0.0286302091707286	-2.00516072494345	"ki"	"down"
"ENSG00000127540"	-0.0575870546183063	0.0317850560395863	0.164461971677788	0.0268208118994271	-2.14710333282403	"ki"	"down"
"ENSG00000143947"	-0.0581415678285561	0.0253738302232507	0.144936381013437	0.0260064053596732	-2.23566336925261	"ki"	"down"
"ENSG00000125691"	-0.0590204703306034	0.0121046488529433	0.0926453385740898	0.0235227650250074	-2.50907876977293	"ki"	"down"
"ENSG00000163584"	-0.0591840563396807	0.028836287290452	0.155884812510231	0.0270776342887105	-2.18571739719361	"ki"	"down"
"ENSG00000143977"	-0.0594920959850797	0.0183704647803513	0.119105320274984	0.0252291986298437	-2.35806522664205	"ki"	"down"
"ENSG00000106028"	-0.0629604210190347	0.0494571345910382	0.214312806180618	0.0320469691067631	-1.96462950394107	"ki"	"down"
"ENSG00000215021"	-0.063002554150771	0.0451171637226346	0.202790667354059	0.0314452970296988	-2.0035604717382	"ki"	"down"
"ENSG00000240972"	-0.0634521939589743	0.0279233678011532	0.153336487243356	0.0288634053823938	-2.1983613200984	"ki"	"down"
"ENSG00000119013"	-0.063515724309309	0.0310609230014398	0.162565258151016	0.0294560030493881	-2.15629134077743	"ki"	"down"
"ENSG00000127184"	-0.0638122368583112	0.012333908426428	0.0934874935334157	0.0254999644580835	-2.50244414901852	"ki"	"down"
"ENSG00000116288"	-0.0639401184925228	0.0144825018355221	0.103086894737901	0.0261506553387654	-2.44506753900499	"ki"	"down"
"ENSG00000143321"	-0.0640631358785837	0.0437080440480291	0.198840120022895	0.0317634850923491	-2.01687993909757	"ki"	"down"
"ENSG00000132507"	-0.0653782218800327	0.0162616687576493	0.110973405195744	0.0272070396884714	-2.40298917591302	"ki"	"down"
"ENSG00000083845"	-0.0654136781622381	0.024435636406058	0.142148362825546	0.0290700364341075	-2.25020970684058	"ki"	"down"
"ENSG00000181163"	-0.066123587562373	0.0154248809215815	0.107064196610699	0.0272984545108744	-2.4222465611023	"ki"	"down"
"ENSG00000265681"	-0.0662550082635925	0.0190056263804601	0.12158130180805	0.0282486682300707	-2.34542059554737	"ki"	"down"
