"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042989","GO:0042989","sequestering of actin monomers","1/3","11/17249",0.0909090909090909,522.69696969697,22.8274303697132,0.0019120453750906,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:0006123","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","1/3","23/17249",0.0434782608695652,249.985507246377,15.7591058854447,0.0039951316317709,0.0552162744899628,0.0180825226399878,"COX2",1
"GO:0007595","GO:0007595","lactation","1/3","42/17249",0.0238095238095238,136.896825396825,11.6296644875308,0.0072874206366097,0.0552162744899628,0.0180825226399878,"COX2",1
"GO:0030837","GO:0030837","negative regulation of actin filament polymerization","1/3","65/17249",0.0153846153846154,88.4564102564103,9.31691217833245,0.011263106200902,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:0032507","GO:0032507","maintenance of protein location in cell","1/3","66/17249",0.0151515151515152,87.1161616161616,9.24470261122247,0.011435720882082,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:0032272","GO:0032272","negative regulation of protein polymerization","1/3","79/17249",0.0126582278481013,72.7805907172996,8.43375992652054,0.0136778838518198,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:0045185","GO:0045185","maintenance of protein location","1/3","88/17249",0.0113636363636364,65.3371212121212,7.98026793664396,0.015228162831852,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:0019646","GO:0019646","aerobic electron transport chain","1/3","90/17249",0.0111111111111111,63.8851851851852,7.88877228461368,0.015572448520168,0.0552162744899628,0.0180825226399878,"COX2",1
"GO:0007589","GO:0007589","body fluid secretion","1/3","92/17249",0.0108695652173913,62.4963768115942,7.80025095666566,0.0159166539554103,0.0552162744899628,0.0180825226399878,"COX2",1
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport","1/3","98/17249",0.0102040816326531,58.6700680272109,7.55100201763726,0.0169487888362391,0.0552162744899628,0.0180825226399878,"COX2",1
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport","1/3","98/17249",0.0102040816326531,58.6700680272109,7.55100201763726,0.0169487888362391,0.0552162744899628,0.0180825226399878,"COX2",1
"GO:0022904","GO:0022904","respiratory electron transport chain","1/3","119/17249",0.00840336134453781,48.3165266106443,6.83114437370955,0.0205555772920701,0.0552162744899628,0.0180825226399878,"COX2",1
"GO:0030879","GO:0030879","mammary gland development","1/3","133/17249",0.0075187969924812,43.2305764411028,6.44818515350359,0.0229551950680993,0.0552162744899628,0.0180825226399878,"COX2",1
"GO:0030833","GO:0030833","regulation of actin filament polymerization","1/3","135/17249",0.00740740740740741,42.5901234567901,6.3983374062137,0.0232976773248947,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:0006119","GO:0006119","oxidative phosphorylation","1/3","143/17249",0.00699300699300699,40.2074592074592,6.20938077057822,0.0246668060196672,0.0552162744899628,0.0180825226399878,"COX2",1
"GO:0031333","GO:0031333","negative regulation of protein-containing complex assembly","1/3","144/17249",0.00694444444444444,39.9282407407407,6.18686005315376,0.0248378570884117,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:0008064","GO:0008064","regulation of actin polymerization or depolymerization","1/3","153/17249",0.0065359477124183,37.5795206971678,5.99407647640886,0.0263764168418066,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:0030832","GO:0030832","regulation of actin filament length","1/3","156/17249",0.00641025641025641,36.8568376068376,5.93349998243313,0.0268889102380234,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:1902600","GO:1902600","proton transmembrane transport","1/3","157/17249",0.00636942675159236,36.6220806794055,5.91368891808515,0.0270597013963508,0.0552162744899628,0.0180825226399878,"COX2",1
"GO:0002181","GO:0002181","cytoplasmic translation","1/3","159/17249",0.00628930817610063,36.1614255765199,5.87462046293552,0.027401223759403,0.0552162744899628,0.0180825226399878,"RPL41",1
"GO:0051494","GO:0051494","negative regulation of cytoskeleton organization","1/3","159/17249",0.00628930817610063,36.1614255765199,5.87462046293552,0.027401223759403,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:1902904","GO:1902904","negative regulation of supramolecular fiber organization","1/3","161/17249",0.0062111801242236,35.712215320911,5.8362711347732,0.0277426661921153,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:0030041","GO:0030041","actin filament polymerization","1/3","166/17249",0.00602409638554217,34.636546184739,5.74340150540646,0.0285959226400452,0.0552162744899628,0.0180825226399878,"TMSB10",1
"GO:0022900","GO:0022900","electron transport chain","1/3","171/17249",0.00584795321637427,33.6237816764133,5.65457099164407,0.0294486797279802,0.0552162744899628,0.0180825226399878,"COX2",1
"GO:0009060","GO:0009060","aerobic respiration","1/3","194/17249",0.00515463917525773,29.6374570446735,5.29048225561992,0.0333649347174831,0.0580412895070554,0.0190076737566965,"COX2",1
"GO:0008154","GO:0008154","actin polymerization or depolymerization","1/3","195/17249",0.00512820512820513,29.4854700854701,5.27610433877,0.0335349672707431,0.0580412895070554,0.0190076737566965,"TMSB10",1
"GO:0032271","GO:0032271","regulation of protein polymerization","1/3","203/17249",0.00492610837438424,28.3234811165846,5.16486071993518,0.0348945099374264,0.0581575165623773,0.0190457364180885,"TMSB10",1
"GO:0051651","GO:0051651","maintenance of location in cell","1/3","224/17249",0.00446428571428571,25.6681547619048,4.90120560530718,0.0384572419498408,0.0618062817051013,0.0202406536578109,"TMSB10",1
"GO:0045333","GO:0045333","cellular respiration","1/3","240/17249",0.00416666666666667,23.9569444444444,4.72352395021997,0.0411658115112362,0.0638779833795045,0.0209191056681418,"COX2",1
"GO:0110053","GO:0110053","regulation of actin filament organization","1/3","265/17249",0.00377358490566038,21.696855345912,4.47809310589523,0.0453877607154717,0.0680816410732075,0.0222957421058457,"TMSB10",1
